,,,,,,,,MEDIDAS LATAM,,,MEDIDAS USA,,,,,,
14091104,FACHADA DECK EBANO,PAREDES,FACHADA,EXTERIOR,"$ 69,199",,,15,290,15,5.91,9.51,0.591,"Fachada Deck Ebano. Producto de la categoría paredes, subcategoría fachada, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 15 x 290 cm, espesor de 15.0 mm.",https://drive.google.com/file/d/17MwN5nDY0C7fhp0HzOqrKcUljNyXi0r4/view?usp=drive_link,,
14091107,FACHADA DECK GRAFITO,PAREDES,FACHADA,EXTERIOR,"$ 69,199",,,15,290,15,5.91,9.51,0.591,"Fachada Deck Grafito. Producto de la categoría paredes, subcategoría fachada, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 15 x 290 cm, espesor de 15.0 mm.",https://drive.google.com/file/d/19cXQZUcM7gvT9_DRKFgjGboiMFO-_Czs/view?usp=drive_link,,
14091103,FACHADA DECK MARRON,PAREDES,FACHADA,EXTERIOR,"$ 69,199",,,15,290,15,5.91,9.51,0.591,"Fachada Deck Marron. Producto de la categoría paredes, subcategoría fachada, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 15 x 290 cm, espesor de 15.0 mm.",https://drive.google.com/file/d/1yX7YljLyjOG2zOqGhTeDor-9EdkYFK-S/view?usp=drive_link,,
14091102,FACHADA DECK NOGAL,PAREDES,FACHADA,EXTERIOR,"$ 69,199",,,15,290,15,5.91,9.51,0.591,"Fachada Deck Nogal. Producto de la categoría paredes, subcategoría fachada, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 15 x 290 cm, espesor de 15.0 mm.",https://drive.google.com/file/d/1-mCOktwvau_0cp5q_9Azsdv1F8RWS6lg/view?usp=drive_link,,
14123702,FACHADA EN PVC AMBAR RUSTICO (SW508),PAREDES,FACHADA,EXTERIOR,"$ 115,090",,,30,150,30,11.81,4.92,1.181,"Fachada En Pvc Ambar Rustico (Sw508). Producto de la categoría paredes, subcategoría fachada, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 30 x 150 cm, espesor de 30.0 mm.",https://drive.google.com/file/d/1HOVMDCGqNGVrNNnuGcmpgKDDCOECRCIJ/view?usp=drive_link,,
14123603,FACHADA OPALO BLANCO (B3),PAREDES,FACHADA,EXTERIOR,"$ 137,999",,,29,115,30,11.42,3.77,1.181,"Fachada Opalo Blanco (B3). Producto de la categoría paredes, subcategoría fachada, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 29 x 115 cm, espesor de 30.0 mm.",https://drive.google.com/file/d/1sU9Ks5RHSiY4SwRMlBA60Vy7hVy85_Zl/view?usp=drive_link,,
14123601,FACHADA PIZARRA MIX (B1),PAREDES,FACHADA,EXTERIOR,"$ 137,999",,,29,115,30,11.42,3.77,1.181,"Fachada Pizarra Mix (B1). Producto de la categoría paredes, subcategoría fachada, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 29 x 115 cm, espesor de 30.0 mm.",https://drive.google.com/file/d/1iW7V2Fiz6YNLkhdAvOhUec7SbJarekMU/view?usp=drive_link,,
14123701,FACHADA PVC MURALLA GRIS,PAREDES,FACHADA,EXTERIOR,"$ 274,990",,,72.5,153,15,28.54,5.02,0.591,"Fachada Pvc Muralla Gris. Producto de la categoría paredes, subcategoría fachada, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 72 x 153 cm, espesor de 15.0 mm.",https://drive.google.com/file/d/1js3Rjd_IJq--zLsh20XKxeJsjK8gFLLC/view?usp=drive_link,,
14181405,FOAM  BOARD  MANDARINA PASTEL (MF-05) - LINEA PASTEL,LAMINAS,FOAM BOARD,INTERIOR,"$ 104,999",Unit,1,122,244,5,48.03,8.01,0.197,"Foam  Board  Mandarina Pastel (Mf-05) - Linea Pastel. Producto de la categoría laminas, subcategoría foam board, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 5.0 mm, presentación en Unit.",https://drive.google.com/file/d/171q26IUvOutvMHFP43M6X16tIpAPR1Gw/view?usp=drive_link,,
14181403,FOAM  BOARD GRIS ACERO (MF-03) - LINEA PASTEL,LAMINAS,FOAM BOARD,INTERIOR,"$ 104,999",Unit,1,122,244,5,48.03,8.01,0.197,"Foam  Board Gris Acero (Mf-03) - Linea Pastel. Producto de la categoría laminas, subcategoría foam board, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 5.0 mm, presentación en Unit.",https://drive.google.com/file/d/1B7AiW-GlGKyrckPMrMMgOf5Mgdq8iEaS/view?usp=drive_link,,
14181302,FOAM BOARD ARENISCA NEGRO (M JS4166-116) - LINEA AURORA BOREAL,LAMINAS,FOAM BOARD,INTERIOR,"$ 164,399",Unit,1,122,244,5,48.03,8.01,0.197,"Foam Board Arenisca Negro (M Js4166-116) - Linea Aurora Boreal. Producto de la categoría laminas, subcategoría foam board, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 5.0 mm, presentación en Unit.",https://drive.google.com/file/d/1iM3EpxDNYKUXZ6s2MoPHhgZ4VTalMJ0B/view?usp=drive_link,,
14181301,FOAM BOARD ARENISCA PLATA (JS4176-189) - LINEA AURORA BOREAL,LAMINAS,FOAM BOARD,INTERIOR,"$ 164,399",Unit,1,122,244,5,48.03,8.01,0.197,"Foam Board Arenisca Plata (Js4176-189) - Linea Aurora Boreal. Producto de la categoría laminas, subcategoría foam board, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 5.0 mm, presentación en Unit.",https://drive.google.com/file/d/1Bg7tdhC-OKsL1TaMGPtrk1lrtQV-i88A/view?usp=drive_link,,
14181402,FOAM BOARD BLANCO ESTUARIO (MF-02) - LINEA AURORA BOREAL,LAMINAS,FOAM BOARD,INTERIOR,"$ 104,999",Unit,1,122,244,5,48.03,8.01,0.197,"Foam Board Blanco Estuario (Mf-02) - Linea Aurora Boreal. Producto de la categoría laminas, subcategoría foam board, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 5.0 mm, presentación en Unit.",https://drive.google.com/file/d/1ecAbk9J2lBjOfJp1EziZU2wjeSqUhZ9E/view?usp=drive_link,,
14181109,FOAM BOARD BLANCO MARFIL  - LINEA ZEN,LAMINAS,FOAM BOARD,INTERIOR,"$ 104,999",Unit,1,122,244,5,48.03,8.01,0.197,"Foam Board Blanco Marfil  - Linea Zen. Producto de la categoría laminas, subcategoría foam board, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 5.0 mm, presentación en Unit.",https://drive.google.com/file/d/16Xy5kBF6vucTu4PGVkrTRR8rwztaf6rH/view?usp=drive_link,,
14181410,FOAM BOARD BRONCE NATURAL (MF-10)  - LINEA AURORA BOREAL,LAMINAS,FOAM BOARD,INTERIOR,"$ 104,999",Unit,1,122,244,5,48.03,8.01,0.197,"Foam Board Bronce Natural (Mf-10)  - Linea Aurora Boreal. Producto de la categoría laminas, subcategoría foam board, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 5.0 mm, presentación en Unit.",https://drive.google.com/file/d/1te8eWRXsjqFGf751IvRQ80Ukii4bsWMq/view?usp=drive_link,,
14181104,FOAM BOARD BURDEO - LINEA ZEN,LAMINAS,FOAM BOARD,INTERIOR,"$ 104,999",Unit,1,122,244,5,48.03,8.01,0.197,"Foam Board Burdeo - Linea Zen. Producto de la categoría laminas, subcategoría foam board, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 5.0 mm, presentación en Unit.",https://drive.google.com/file/d/1lz3_05nYoCqeF0Zm2-wR_H3XtdiySL5M/view?usp=drive_link,,
14181411,FOAM BOARD COBRE (MF-11) - LINEA AURORA BOREAL,LAMINAS,FOAM BOARD,INTERIOR,"$ 104,999",Unit,1,122,244,5,48.03,8.01,0.197,"Foam Board Cobre (Mf-11) - Linea Aurora Boreal. Producto de la categoría laminas, subcategoría foam board, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 5.0 mm, presentación en Unit.",https://drive.google.com/file/d/1sy0pS-mz8erQvcNLAwbzG6KqwwpjuQ3w/view?usp=drive_link,,
14181303,FOAM BOARD COBRE TERRA (JS4156-169)  - LINEA AURORA BOREAL,LAMINAS,FOAM BOARD,INTERIOR,"$ 164,399",Unit,1,122,244,5,48.03,8.01,0.197,"Foam Board Cobre Terra (Js4156-169)  - Linea Aurora Boreal. Producto de la categoría laminas, subcategoría foam board, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 5.0 mm, presentación en Unit.",https://drive.google.com/file/d/1fYzRjatdP2yeId30bHGyWDI_Rd2LcoB1/view?usp=drive_link,,
14181105,FOAM BOARD CORTEZA - LINEA ZEN,LAMINAS,FOAM BOARD,INTERIOR,"$ 104,999",Unit,1,122,244,5,48.03,8.01,0.197,"Foam Board Corteza - Linea Zen. Producto de la categoría laminas, subcategoría foam board, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 5.0 mm, presentación en Unit.",https://drive.google.com/file/d/1HfKWtuVC6854qEnyQUSIvqEsa0HSTF69/view?usp=drive_link,,
14181202,FOAM BOARD ESPEJO BLANCO - LINEA ZEN,LAMINAS,FOAM BOARD,INTERIOR,"$ 181,790",Unit,1,122,244,5,48.03,8.01,0.197,"Foam Board Espejo Blanco - Linea Zen. Producto de la categoría laminas, subcategoría foam board, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 5.0 mm, presentación en Unit.",https://drive.google.com/file/d/1J1pdimPrebWPkJPhJ-b1j5l_UCvwl9oE/view?usp=drive_link,,
14181204,FOAM BOARD ESPEJO DORADO - LINEA ZEN,LAMINAS,FOAM BOARD,INTERIOR,"$ 181,790",Unit,1,122,244,5,48.03,8.01,0.197,"Foam Board Espejo Dorado - Linea Zen. Producto de la categoría laminas, subcategoría foam board, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 5.0 mm, presentación en Unit.",https://drive.google.com/file/d/1lOgsvyw1OQkGkttwUc_SjG_UM0pvrIQg/view?usp=drive_link,,
14181203,FOAM BOARD ESPEJO NEGRO - LINEA ZEN,LAMINAS,FOAM BOARD,INTERIOR,"$ 181,790",Unit,1,122,244,5,48.03,8.01,0.197,"Foam Board Espejo Negro - Linea Zen. Producto de la categoría laminas, subcategoría foam board, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 5.0 mm, presentación en Unit.",https://drive.google.com/file/d/1ezPBMdAITsfS6RPyCgfmmoT1fj0dDsvF/view?usp=drive_link,,
14181205,FOAM BOARD ESPEJO PALO DE ROSA - LINEA ZEN,LAMINAS,FOAM BOARD,INTERIOR,"$ 181,790",Unit,1,122,244,5,48.03,8.01,0.197,"Foam Board Espejo Palo De Rosa - Linea Zen. Producto de la categoría laminas, subcategoría foam board, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 5.0 mm, presentación en Unit.",https://drive.google.com/file/d/19ivANx74OA3Z9oc2sK5-6MnWKCipij8P/view?usp=drive_link,,
14181201,FOAM BOARD ESPEJO PLATEADO  - LINEA ZEN,LAMINAS,FOAM BOARD,INTERIOR,"$ 181,790",Unit,1,122,244,5,48.03,8.01,0.197,"Foam Board Espejo Plateado  - Linea Zen. Producto de la categoría laminas, subcategoría foam board, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 5.0 mm, presentación en Unit.",https://drive.google.com/file/d/10SBR9kHKRCMBreEIu0NJxC-m_MGbg6zY/view?usp=drive_link,,
14181404,FOAM BOARD EVERES CREMA (MF-04) - LINEA PASTEL,LAMINAS,FOAM BOARD,INTERIOR,"$ 104,999",Unit,1,122,244,5,48.03,8.01,0.197,"Foam Board Everes Crema (Mf-04) - Linea Pastel. Producto de la categoría laminas, subcategoría foam board, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 5.0 mm, presentación en Unit.",https://drive.google.com/file/d/1iB8X05wzlF7MLiclcy_JyD1zHRQcfmwo/view?usp=drive_link,,
14181107,FOAM BOARD GOTAS DE AGUA NEGRO - LINEA GOTAS DE AGUA,LAMINAS,FOAM BOARD,INTERIOR,"$ 181,790",Unit,1,122,244,5,48.03,8.01,0.197,"Foam Board Gotas De Agua Negro - Linea Gotas De Agua. Producto de la categoría laminas, subcategoría foam board, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 5.0 mm, presentación en Unit.",https://drive.google.com/file/d/1b9FbJnSyxjs_DVRZ_RtYlmuM8FhFkUi1/view?usp=drive_link,,
