,,,,,,UNIDAD DE EMPAQUE,,PESO POR UNIDAD,,MEDIDAS LATAM,,,MEDIDAS USA,,,,,,
14201202,CINTA ADHESIVA METALICA PLATEADA,CINTAS,CINTA ADHESIVA METALICA,INTERIOR,$ 23.399,Unidad / Unit,1,"0,2","0,04",3,500,0,"1,181","16,404",0,https://drive.google.com/file/d/1Ev2uzOlPHpaPhf81fFWwaqy-yl0LpiNT/view?usp=drive_link,,,"Cinta Adhesiva Metalica Plateada. Producto de la categoría cintas, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 3 x 500 cm, espesor de 0.0 mm."
14201203,CINTA ADHESIVA METALICA NEGRA,CINTAS,CINTA ADHESIVA METALICA,INTERIOR,$ 23.399,Unidad / Unit,1,"0,2","0,04",3,500,0,"1,181","16,404",0,https://drive.google.com/file/d/1N0jQGZ4PQ8yeJd8dnL7ulc-NW8zkwEfB/view?usp=drive_link,,,"Cinta Adhesiva Metalica Negra. Producto de la categoría cintas, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 3 x 500 cm, espesor de 0.0 mm."
14201204,CINTA ADHESIVA METALICA PALO DE ROSA,CINTAS,CINTA ADHESIVA METALICA,INTERIOR,$ 23.399,Unidad / Unit,1,"0,2","0,04",3,500,0,"1,181","16,404",0,https://drive.google.com/file/d/1q6Ug7r0MNnWvHw0nOtPaXI-iIeX2JrsS/view?usp=drive_link,,,"Cinta Adhesiva Metalica Palo De Rosa. Producto de la categoría cintas, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 3 x 500 cm, espesor de 0.0 mm."
14081601,CUBIERTA ACANALADA UPVC BLANCA 11.80,CUBIERTAS UPVC,CUBIERTA ACANALADA UPVC BLANCA 11.80,EXTERIOR,$ 465.000,Unidad / Unit,1,"5,5","1,13",83,1180,10,"32,68","38,71","0,394",https://drive.google.com/file/d/1oQ59_8ROlkCr8ZT6PyUOpwmzw7IJpqm0/view?usp=drive_link,,,"Cubierta Acanalada Upvc Blanca 11.80. Producto de la categoría cubiertas upvc, subcategoría tejas, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 83 x 1180 cm, espesor de 10.0 mm."
14081201,CUBIERTA ONDULADA ROMA,CUBIERTAS UPVC,CUBIERTA ONDULADA ROMA,EXTERIOR,$ 421.764,Unidad / Unit,1,5,"1,02",105,1180,"2,5","41,34","38,71","0,098",https://drive.google.com/file/d/1QmTGeNZ9L6AmBG0PH8pUQlqs_zSuKLm1/view?usp=drive_link,,,"Cubierta Ondulada Roma. Producto de la categoría cubiertas upvc, subcategoría tejas, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 105 x 1180 cm, espesor de 2.5 mm."
14081003,CUBIERTA TERMOACUSTICA UPVC 2.0mm BLANCA O.B,CUBIERTAS UPVC,CUBIERTA TERMOACUSTICA UPVC 2.0mm BLANCA ONDA BAJA,EXTERIOR,$ 311.008,Unidad / Unit,1,5,"1,02",113,1180,2,"44,49","38,71","0,079",https://drive.google.com/file/d/1Fc7qYs7jbM-Hv71GsaA312NwG-_rY8PE/view?usp=drive_link,,,"Cubierta Termoacustica Upvc 2.0Mm Blanca O.B. Producto de la categoría cubiertas upvc, subcategoría tejas, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 113 x 1180 cm, espesor de 2.0 mm."
14081001,CUBIERTA TERMOACUSTICA UPVC 2.5mm BLANCA O.A,CUBIERTAS UPVC,CUBIERTA TERMOACUSTICA UPVC 2.5mm BLANCA ONDA ALTA,EXTERIOR,$ 390.083,Unidad / Unit,1,5,"1,02",107,1180,"2,5","42,13","38,71","0,098",https://drive.google.com/file/d/1c0fDHasuweVx0LfMtLnLhn0cQWOsIhNb/view?usp=drive_link,,,"Cubierta Termoacustica Upvc 2.5Mm Blanca O.A. Producto de la categoría cubiertas upvc, subcategoría tejas, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 107 x 1180 cm, espesor de 2.5 mm."
14081301,CUBIERTA TRASLUCIDA ONDA ALTA OPAL,CUBIERTAS UPVC,CUBIERTA TRASLUCIDA ONDA ALTA OPAL,EXTERIOR,,Unidad / Unit,1,5,"1,02",107,1180,,"42,126","38,714",,https://drive.google.com/file/d/1MK-XZBq9wimElJm4HhqK2qdixi7MxJQv/view?usp=drive_link,,,"CUBIERTA TRASLUCIDA ONDA ALTA OPAL. Producto de la categoría cubiertas upvc, subcategoría tejas, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 107x 1180 cm."
14091101,FACHADA DECK ROBLE,PAREDES,FACHADA DECK,EXTERIOR,$ 69.199,Estiba / Pallet,200,"4,9","1,00",15,290,15,"5,906","9,514","0,591",,,,"Fachada Deck Roble. Producto de la categoría paredes, subcategoría fachada, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 15 x 290 cm, espesor de 15.0 mm."
14091102,FACHADA DECK NOGAL,PAREDES,FACHADA DECK,EXTERIOR,$ 69.199,Estiba / Pallet,200,"4,9","1,00",15,290,15,"5,91","9,51","0,591",https://drive.google.com/file/d/1-mCOktwvau_0cp5q_9Azsdv1F8RWS6lg/view?usp=drive_link,,,"Fachada Deck Nogal. Producto de la categoría paredes, subcategoría fachada, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 15 x 290 cm, espesor de 15.0 mm."
14091103,FACHADA DECK MARRON,PAREDES,FACHADA DECK,EXTERIOR,$ 69.199,Estiba / Pallet,200,"4,9","1,00",15,290,15,"5,91","9,51","0,591",https://drive.google.com/file/d/1yX7YljLyjOG2zOqGhTeDor-9EdkYFK-S/view?usp=drive_link,,,"Fachada Deck Marron. Producto de la categoría paredes, subcategoría fachada, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 15 x 290 cm, espesor de 15.0 mm."
14091104,FACHADA DECK EBANO,PAREDES,FACHADA DECK,EXTERIOR,$ 69.199,Estiba / Pallet,200,"4,9","1,00",15,290,15,"5,91","9,51","0,591",https://drive.google.com/file/d/17MwN5nDY0C7fhp0HzOqrKcUljNyXi0r4/view?usp=drive_link,,,"Fachada Deck Ebano. Producto de la categoría paredes, subcategoría fachada, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 15 x 290 cm, espesor de 15.0 mm."
14091105,FACHADA DECK CEDRO,PAREDES,FACHADA DECK,EXTERIOR,$ 69.199,Estiba / Pallet,200,"4,9","1,00",15,290,15,"5,91","9,51","0,591",https://drive.google.com/file/d/1F5GcKZNUQrWQtFg9iqUvXQHGzhdMFGou/view?usp=drive_link,,,"Fachada Deck Cedro. Producto de la categoría paredes, subcategoría fachada, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 15 x 290 cm, espesor de 15.0 mm."
14091107,FACHADA DECK GRAFITO,PAREDES,FACHADA DECK,EXTERIOR,$ 69.199,Estiba / Pallet,200,"4,9","1,00",15,290,15,"5,91","9,51","0,591",https://drive.google.com/file/d/19cXQZUcM7gvT9_DRKFgjGboiMFO-_Czs/view?usp=drive_link,,,"Fachada Deck Grafito. Producto de la categoría paredes, subcategoría fachada, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 15 x 290 cm, espesor de 15.0 mm."
14123601,FACHADA PIZARRA MIX (B1),PAREDES,FACHADA EXTERIOR PVC,EXTERIOR,$ 137.999,Paquete / Package,6,"0,5","0,10",29,115,30,"11,42","3,77","1,181",https://drive.google.com/file/d/1iW7V2Fiz6YNLkhdAvOhUec7SbJarekMU/view?usp=drive_link,,,"Fachada Pizarra Mix (B1). Producto de la categoría paredes, subcategoría fachada, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 29 x 115 cm, espesor de 30.0 mm."
14123602,FACHADA CANTERA MIX (B2),PAREDES,FACHADA EXTERIOR PVC,EXTERIOR,$ 137.999,Paquete / Package,6,"0,5","0,10",29,115,30,"11,42","3,77","1,181",https://drive.google.com/file/d/1pxKUGsgAOg2oe7d_b9MPraLL2CFYDzBF/view?usp=drive_link,,,"Fachada Cantera Mix (B2). Producto de la categoría paredes, subcategoría fachada, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 29 x 115 cm, espesor de 30.0 mm."
14123603,FACHADA OPALO BLANCO (B3),PAREDES,FACHADA EXTERIOR PVC,EXTERIOR,$ 137.999,Paquete / Package,6,"0,5","0,10",29,115,30,"11,42","3,77","1,181",https://drive.google.com/file/d/1sU9Ks5RHSiY4SwRMlBA60Vy7hVy85_Zl/view?usp=drive_link,,,"Fachada Opalo Blanco (B3). Producto de la categoría paredes, subcategoría fachada, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 29 x 115 cm, espesor de 30.0 mm."
14123604,FACHADA ARENISCA BEIGE (B4),PAREDES,FACHADA EXTERIOR PVC,EXTERIOR,$ 137.999,Paquete / Package,6,"0,5","0,10",29,115,30,"11,42","3,77","1,181",https://drive.google.com/file/d/1MpRRw6kWAKZXRGT5IMJ0fOKYFnY7GfyV/view?usp=drive_link,,,"Fachada Arenisca Beige (B4). Producto de la categoría paredes, subcategoría fachada, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 29 x 115 cm, espesor de 30.0 mm."
14123701,FACHADA PVC MURALLA GRIS,PAREDES,FACHADA EXTERIOR PVC,EXTERIOR,$ 274.990,Paquete / Package,10,"0,5","0,10","72,5",153,15,"28,54","5,02","0,591",https://drive.google.com/file/d/1js3Rjd_IJq--zLsh20XKxeJsjK8gFLLC/view?usp=drive_link,,,"Fachada Pvc Muralla Gris. Producto de la categoría paredes, subcategoría fachada, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 72 x 153 cm, espesor de 15.0 mm."
14123702,FACHADA EN PVC AMBAR RUSTICO (SW508),PAREDES,FACHADA EXTERIOR PVC,EXTERIOR,$ 115.090,Paquete / Package,6,"0,5","0,10",30,150,30,"11,81","4,92","1,181",https://drive.google.com/file/d/1HOVMDCGqNGVrNNnuGcmpgKDDCOECRCIJ/view?usp=drive_link,,,"Fachada En Pvc Ambar Rustico (Sw508). Producto de la categoría paredes, subcategoría fachada, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 30 x 150 cm, espesor de 30.0 mm."
14181101,FOAM BOARD PINO - LINEA ZEN,LAMINAS,FOAM BOARD,INTERIOR,$ 104.999,Estiba / Pallet,"180, 200, 210","9,5","1,95",122,244,5,"48,03","8,01","0,197",https://drive.google.com/file/d/1VRQgsyqB9e0H0-L6kwqCaHvCMs1Y-OWb/view?usp=drive_link,,,"Foam Board Pino - Linea Zen. Producto de la categoría laminas, subcategoría foam board, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 5.0 mm, presentación en Unit."
14181103,FOAM BOARD MAPLE - LINEA ZEN,LAMINAS,FOAM BOARD,INTERIOR,$ 104.999,Estiba / Pallet,"180, 200, 210","9,5","1,95",122,244,5,"48,03","8,01","0,197",https://drive.google.com/file/d/1NaQpdZJNgQLFtJun6yLoxgPLcjbebJTk/view?usp=drive_link,,,"Foam Board Maple - Linea Zen. Producto de la categoría laminas, subcategoría foam board, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 5.0 mm, presentación en Unit."
14181104,FOAM BOARD BURDEO - LINEA ZEN,LAMINAS,FOAM BOARD,INTERIOR,$ 104.999,Estiba / Pallet,"180, 200, 210","9,5","1,95",122,244,5,"48,03","8,01","0,197",https://drive.google.com/file/d/1lz3_05nYoCqeF0Zm2-wR_H3XtdiySL5M/view?usp=drive_link,,,"Foam Board Burdeo - Linea Zen. Producto de la categoría laminas, subcategoría foam board, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 5.0 mm, presentación en Unit."
14181105,FOAM BOARD CORTEZA - LINEA ZEN,LAMINAS,FOAM BOARD,INTERIOR,$ 104.999,Estiba / Pallet,"180, 200, 210","9,5","1,95",122,244,5,"48,03","8,01","0,197",https://drive.google.com/file/d/1HfKWtuVC6854qEnyQUSIvqEsa0HSTF69/view?usp=drive_link,,,"Foam Board Corteza - Linea Zen. Producto de la categoría laminas, subcategoría foam board, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 5.0 mm, presentación en Unit."
14181106,FOAM BOARD GRIS NATURAL - LINEA ZEN,LAMINAS,FOAM BOARD,INTERIOR,$ 104.999,Estiba / Pallet,"180, 200, 210","9,5","1,95",122,244,5,"48,03","8,01","0,197",https://drive.google.com/file/d/1C8mhIN4pHipjJlMK_W_DXUMgFHbNLqUm/view?usp=drive_link,,,"Foam Board Gris Natural - Linea Zen. Producto de la categoría laminas, subcategoría foam board, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 5.0 mm, presentación en Unit."
14181107,FOAM BOARD GOTAS DE AGUA NEGRO - LINEA GOTAS DE AGUA,LAMINAS,FOAM BOARD,INTERIOR,$ 181.790,Estiba / Pallet,"180, 200, 210","9,5","1,95",122,244,5,"48,03","8,01","0,197",https://drive.google.com/file/d/1b9FbJnSyxjs_DVRZ_RtYlmuM8FhFkUi1/view?usp=drive_link,,,"Foam Board Gotas De Agua Negro - Linea Gotas De Agua. Producto de la categoría laminas, subcategoría foam board, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 5.0 mm, presentación en Unit."
14181108,FOAM BOARD GOTAS DE AGUA PLATEADO - LINEA GOTAS DE AGUA,LAMINAS,FOAM BOARD,INTERIOR,$ 181.790,Estiba / Pallet,"180, 200, 210","9,5","1,95",122,244,5,"48,03","8,01","0,197",https://drive.google.com/file/d/18Vtm407oVdVqfkv0zB77Gn8Kax3rg11J/view?usp=drive_link,,,"Foam Board Gotas De Agua Plateado - Linea Gotas De Agua. Producto de la categoría laminas, subcategoría foam board, desarrollado para aplicaciones arquitectónicas y de diseño interior. Fabricado con materiales de alto desempeño que garantizan estabilidad, resistencia y durabilidad. Permite una instalación eficiente y un acabado uniforme, ideal para proyectos residenciales, comerciales y corporativos. Especificaciones técnicas: dimensiones de 122 x 244 cm, espesor de 5.0 mm, presentación en Unit."
